name,type,confidence,n_entries,spelling_variants,index_letters,example_entry
Alchfled,person,0.95,1,Alchfled,A,"Alchfled, daughter to king Oswy. 172.21."
Alchfride,person,0.89,2,Alchfride,A,"Alchfride, brother in lawe to Peda. 173.29."
Alclud citie,place,0.92,1,Alclud citie,A,"Alclud citie now decayed, builded. 18.15."
Alcluid Citie,place,0.97,2,Alcluid Citie,A,Alcluid Citie destroyed by the Danes. 211.54.
Alcoch Iohn,person,0.97,1,Alcoch Iohn,A,Alcoch Iohn Byshop of Ely foundeth Iesus Colledge. 1462.51.
Alda,person,0.82,1,Alda,A,"Alda, sister to Vter Pendragon marryed to Conran kyng of Scots. 132.17."
Aldayne,person,0.91,1,Aldayne,A,Aldayne Byshop of Durham. 241.18.
Aldane Giles,person,0.87,1,Aldane Giles,A,"Aldane Giles, consecrated Byshop of Saint Nynian in Scotland. 352.21."
Aldegate,uncertain,0.43,1,Aldegate,A,Aldegate and Byshops gate assaulted by Bastard Fanconbridge. page. 1342. col. 1. line. 52.
Aldemarle,person,0.84,1,Aldemarle,A,Aldemarle Wyl. bastard sonne to Robert Earle of Northũberland. 326.43.
Alderman of London,uncertain,0.45,1,Alderman of London,A,Alderman of London setteth forth a fleete. 1009.19. b.
Aldermen,person,0.43,2,Aldermen,A,"Aldermen seuen dyed within .x. monethes, 1837.30."
Aldgitha,person,0.86,1,Aldgitha,A,"Aldgitha Queene, sent away from London to Chester. 291.35."
Aldhelme,person,0.91,1,Aldhelme,A,Aldhelme ordeyned Byshop of Shirebourne. 190.10.
Aldiminus,uncertain,0.2,1,Aldiminus,A,"Aldiminus, looke Ealdbright."
Alditha,person,0.97,1,Alditha,A,"Alditha daughter to Earle Ormus, marryed to king Aulafe. 227.69."
Aldred,person,0.93,4,Aldred,A,Aldred Archbyshop of Yorke departeth this life. 300.39.
Aldrede,person,0.91,1,Aldrede,A,Aldrede Abbot of Lindesserne. 219.41.
Aldredus,person,0.91,1,Aldredus,A,Aldredus Archbyshop of Yorke. 222.48.
Aldroenus,person,0.47,2,Aldroenus,A,"Aldroenus, king of little Britaine. 102.30."
Aldulfe,person,0.97,1,Aldulfe,A,"Aldulfe, sonne to Bosa slayne. 196.39."
Aldwine,person,0.86,2,Aldwine | Aldwyne,A,"Aldwyne, a Monke. 307.103."
Aldwolfe,person,0.91,1,Aldwolfe,A,"Aldwolfe, Byshop of Rochester. 191.100."
Alectus,person,0.9,3,Alectus,A,Alectus taketh vpon him the gouernment of Britaine. 81.96
Allegations,person,0.83,1,Allegations,A,Allegations made by the French king Phillip to the Popes Legate concerning his ayding of the barons of England against king Iohn. 598 83.
Alered,person,0.93,1,Alered,A,"Alered, Archbyshop of Yorke, obtaineth pardon for Swaine 270.22."
Aleria,place,0.82,1,Aleria,A,Aleria called Alize in Burgogne by whom builded. 6.45.
Alerium Castle,place,0.87,1,Alerium Castle,A,"Alerium Castle, deliuered to king Henry the second. 410.6."
Allerton castle,place,0.93,2,Allerton castle,A,Allerton castle. 436.28.
Alewine,person,0.8,1,Alewine,A,Alewine sent Ambassador vnto Charles the great. 195.43.
Alexander,person,0.97,5,Alexander,A,"Alexander Byshop of Lincolne Nephew or sonne to Roger Byshop of Salisburie, committed to prison. 371.65."
Alexander Neuil Archbshop of Yorke,person,0.97,1,Alexander Neuil Archbshop of Yorke,N,Alexander Neuil Archbshop of Yorke fleeth. 1070.36. a. attaynted. 1071.25.
Alferd,person,0.86,1,Alferd,A,Alferd departeth this lyfe. 185. 114.
Alfin,person,0.7,1,Alfin,A,"Alfin succeedeth Odo in ye Archbyshoprike of Canterburye, and"
Alfonse,person,0.97,1,Alfonse,A,Alfonse king of Castill requyreth ayde of Henry the third against his natural brother Richard king of Almaigne. 747.58. he is denyed aide as an vnreasonable request. 747.60.
Alfred,person,0.95,10,Alfred,A,Alfred professeth her selfe a Nunne. 237.31.
Alfreda,person,0.91,2,Alfreda,A,Alfreda professeth hirselfe a Nunne. 197.15.
Alfredes,uncertain,0.33,2,Alfredes,A,"Alfredes deede in procuring king Edwardes death, in no wise excusable. 237.59."
Alfride,person,0.86,1,Alfride,A,"Alfride Earle, high Admiral of a nauie against the Danes. 240.11."
Alfrike,person,0.93,3,Alfrike,A,"Alfrike turneth from his owne countrey, to the Danes. 240.21."
Alfrikes,person,0.8,1,Alfrikes,A,"Alfrikes ship taken, and he himselfe reconciled to king Egelredes fauour. 240.38."
Alfwen,person,0.92,1,Alfwen,A,"Alfwen, daughter to Ethelfleda disinherited. 222.55."
Algar,person,0.94,11,Algar,A,"Algar, sonne to Duke Alfrike, his eyes put out. 240.44."
Alice,person,0.97,1,Alice,A,"Alice, eldest daughter to Hubert Earle of Morieune, affianced to Iohn, youngest sonne to king Henry the second. 423.58."
Alice Perers,person,0.97,1,Alice Perers,P,Alice Perers Concubine to king Edward the third. 997 27. a. banished the Realme. 1008.45. a.
Almaine Campe,group,0.85,1,Almaine Campe,A,Almaine Campe a fort yelded to the Frenchmen. 1696.10
