name,type,confidence,n_entries,spelling_variants,index_letters,example_entry
Kenighale Robert,person,0.97,1,Kenighale Robert,K,Kenighale Robert. 1463.3
Kenred,person,0.54,3,Kenred,K,"Kenred renounceth the worlde, goeth to Rome to be made a Monke, & there dieth. 189.21"
Kenricus,person,0.93,2,Kenricus,K,Kenricus discomfiteth and slayeth Nazaleod and his Britaines. 130.39
Kenrit,person,0.97,1,Kenrit,K,"Kenrit, sonne to king Cuthred, slaine in a tumult. 193.65."
Kent,place,0.84,7,Kent,K,Kent deliuered to the Saxons. 118.41
Kenticus,person,0.95,1,Kenticus,K,Kenticus king of west Saxons departeth this life. 142.44
Kentish,person,0.8,1,Kentish,K,"Kentish men assemble at Canterbury, determining to fight with king William, in defence of their liberties. 292 32."
Kentishmen,group,0.85,8,Kentishmen,K,Kentishmen make an hurly burley. pag. 1325. col. 1. lin. 37.
Kentishmens,group,0.85,1,Kentishmens,K,Kentishmens request vnto king William 293.7
Kenulf,person,0.86,1,Kenulf,K,Kenulf departeth this life. 201 8.
Kenulfe,person,0.76,2,Kenulfe,K,"Kenulfe inuadeth Kent with a mighty armie, and wasteth it 200.98."
Kenulfes,uncertain,0.2,1,Kenulfes,K,Kenulfes liberalitie towardes churchmen. 201.1
Kenwolfe,person,0.82,1,Kenwolfe,K,Kenwolfe and his army ouerthrowen by Offa. 194.93
Kernelenc,uncertain,0.2,1,Kernelenc,K,"Kernelenc, looke Camblan."
Ket Robert,person,0.94,1,Ket Robert,K,"Ket Robert, captaine of the rebels in Norfolke, hanged. 3675.30."
Kybius Corinnius,person,0.91,1,Kybius Corinnius,K,Kybius Corinnius Bishop of Anglesey. 94.55
Kildare,uncertain,0.3,3,Kildare,K,Kildare Earle committed to ward. 1508.10.
Killingworth Castle,place,0.97,1,Killingworth Castle,K,Killingworth Castle kept and furnished by the Barons. 767.28. deliuered to Kyng Henry the thyrd. 777.73.
Kilken<?>y William,person,0.97,1,Kilken<?>y William,K,Kilken<?>y William keeper of the great seale. 723.3.
Kylwarby Robert,person,0.97,1,Kylwarby Robert,K,Kylwarby Robert made Archbishop of Cãterburi. 782.38
Kimarius,person,0.94,1,Kimarius,K,"Kimarius, sonne to Sirilius, beginneth to reigne ouer Britaine. 29.52."
Kimarus,person,0.93,1,Kimarus,K,Kimarus slayne by hys owne subiectes. 29.57.
Kymbelaine,person,0.96,2,Kymbelaine,K,"Kymbelaine dyeth, and is buried at London. 46.22"
Kymbeline,person,0.96,2,Kymbeline,K,Kymbeline brought vp at Rome and made knight by Augustus Cesar. 46.1
Kinadius,person,0.95,1,Kinadius,K,"Kinadius, king of Scots, sweareth to be true to king Edgar. 231.77."
Kinarde,place,0.83,1,Kinarde,K,"Kinarde Ferie Castle, razed to the very ground. 433.24."
Kineard,person,0.59,3,Kineard,K,Kineard and his conspiratours slaine. 198.56
Kinewulf,person,0.91,1,Kinewulf,K,Kinewulf slaine. 196.40.
Kinewulfe,person,0.55,3,Kinewulfe,K,Kinewulfe slayne by conspiracie. 198.23.
King Edward,person,0.94,2,King Edward,K,King Edward the fifth kept house at Ludlow. pa. 1360. col 1. lin. 8. came towarde London. lin. 7. returned by the Duke of Gloucestar to Northampton. pa. 1362. col. 1. lin. 15. came to London. pa. 1363. col. 2. lin. 34. conuayed to the Towre. pa. 1370. col. 1. lin. 37. murdered.
King Henry,person,0.97,2,King Henry,K,King Henry the sixte hys part discomfited. pa. 1311. col. 2. lin. 54. fled to Scotland. pa. 1312. col. 1. line. 51.
King of Churles,person,0.74,1,King of Churles,K,King of Churles. 259.21.
King of Naples,person,0.74,1,King of Naples,N,King of Naples disswadeth the French king from battaile. 905.18. a.
King of Nauer,person,0.91,1,King of Nauer,N,King of Nauer commeth into England. 991.41. a
King of Portingal,person,0.88,1,King of Portingal,P,King of Portingal marrieth the Duke of Lanc. daughter. 1052.7. a.
Kyng of Scots,person,0.97,1,Kyng of Scots,K,Kyng of Scots supported Henry the sixt. pag. 1312. col. 2. lin. 32.
Kingdome of Brenitia,place,0.85,1,Kingdome of Brenitia,K,Kingdome of Brenitia begynneth. 139.96.
Kingdome of Bre<?>tia,place,0.89,1,Kingdome of Bre<?>tia,K,Kingdome of Bre<?>tia builded. 140.6.
Kingdome of Deira,place,0.97,1,Kingdome of Deira,K,Kingdome of Deira begun and bounded. 140.16
Kingdome of East,place,0.93,1,Kingdome of East,K,Kingdome of East Angles subdued by king Edward. 221.101.
Kingdome of East Saxons,place,0.97,1,Kingdome of East Saxons,K,Kingdome of East Saxons bounded. 131.33.
Kingdome of Eastangles,place,0.94,2,Kingdome of Eastangles,K,Kingdome of Eastangles boũded. 126.85.
Kingdome of England,place,0.97,1,Kingdome of England,K,Kingdome of England is gods kingdome. 267.100
Kingdome of Kent,place,0.94,1,Kingdome of Kent,K,Kingdome of Kent bounded. 119.6.
Kingdome of Mercee,place,0.97,1,Kingdome of Mercee,K,"Kingdome of Mercee begun, and bounded. 143.39."
Kingdome of Mercia,place,0.84,1,Kingdome of Mercia,K,Kingdome of Mercia endeth. 218.88.
Kingdome of Northumberland,place,0.96,1,Kingdome of Northumberland,K,Kingdome of Northumberland bounded. 140.28
Kingdome of South Saxons,place,0.97,1,Kingdome of South Saxons,K,Kingdome of South Saxons ioyned to the kingdome of west Saxons. 187.110 reprochful wordes agaynst hym. 235.3
Kingdome of West Saxons,place,0.97,1,Kingdome of West Saxons,K,"Kingdome of West Saxons, and the bounds therof. 131.3. and. 137.79."
Kinges of England,person,0.93,1,Kinges of England,K,Kinges of England when <?>ly to be to accoumpted. 231.94.
Kingescliffe battaile,place,0.95,1,Kingescliffe battaile,K,Kingescliffe battaile against Ethelbert. 196.41
Kings of England,place,0.49,4,Kings of England,K,Kings of England why afrayde to enter into Oxford. 197.61.
Kings of Kent,uncertain,0.45,1,Kings of Kent,K,Kings of Kent put to flight by the Romans. 42.105
Kyngston vpon Hul,uncertain,0.2,1,Kyngston vpon Hul,K,Kyngston vpon Hul. pa. 1328 co. 1. lin. 7.
Kynimacus,person,0.97,2,Kynimacus,K,"Kynimacus dyeth, and is buried at Yorke. 22.13."
Kinmatus,person,0.5,1,Kinmatus,K,"Kinmatus, looke Kynimacus."
Kinton Godfrey,person,0.97,1,Kinton Godfrey,K,Kinton Godfrey consecrated Archbyshop of Cantorburye at Rome. 755.17.
Kynwith Castle,place,0.95,1,Kynwith Castle,K,Kynwith Castle. 214.67.
Kirgils,uncertain,0.2,1,Kirgils,K,"Kirgils, looke Cinegiscus. 155."
Kirksteede Abbey in Yorkshyre,place,0.97,1,Kirksteede Abbey in Yorkshyre,K,Kirksteede Abbey in Yorkshyre founded. 394.30
Kyrthling,uncertain,0.2,1,Kyrthling,K,Kyrthling ii. Eastangle. 235.109.
Knought,person,0.92,1,Knought,K,"Knought, sonne to Swanus, looke Cnute."
Kreekers,uncertain,0.2,1,Kreekers,K,"Kreekers, see aduenturers."
Krikelade,uncertain,0.2,1,Krikelade,K,Krikelade. 252.29.
Labienus,person,0.84,1,Labienus,L,"Labienus, one of the Romane Tribunes slayne. 39.23."
Laabin,uncertain,0.2,1,Laabin,L,"Laabin, one of the names of Her+cules. 5.103"
Lacy Hugh,person,0.82,1,Lacy Hugh,L,Lacy Hugh conformed in al the landes of Meeth. 421.35.
Lacy Iohn,person,0.97,1,Lacy Iohn,L,Lacy Iohn Constable of Chester. 454.32
Lacy Roger,person,0.96,5,Lacy Roger,L,Lacy Roger delyuereth hys sonne and heyre to K. Iohn as an hostage of his loyaltie & faithful obedience. 546.14.
Lacy Walter,person,0.97,5,Lacy Walter | Lacy walter,L,Lacy Walter. 570.12
Lacye Hugh,person,0.91,1,Lacye Hugh,L,"Lacye Hugh made keeper of Dublin citie, and Lord chiefe Iustice of Ireland. 421.40."
Lacie Roger,person,0.97,1,Lacie Roger,L,Lacie Roger. 318.68.
Lady de Breuse,person,0.97,1,Lady de Breuse,L,Lady de Breuse and her sonne taken by king Iohn. 570.15
Laford Castle,place,0.95,1,Laford Castle,L,Laford Castle. 605.30.
Lago,person,0.82,1,Lago,L,"Lago or Iago cousin to Gurgustius, taketh vpon him the Gouernment of Britayn. 21.104."
Layborne Robert,person,0.97,1,Layborne Robert,L,Layborne Robert. 1443.42.
Lambert,person,0.97,5,Lambert,L,Lambert Archbishop departeth this lyfe. 202.75
Lambert William,person,0.97,4,Lambert William,L,Lambert William cited. 246.32. and. 263.21.
Lambheth,uncertain,0.2,1,Lambheth,L,Lambheth. 267.112
Lammeth Church,place,0.92,1,Lammeth Church,L,Lammeth Church fyrst founded by Baldwyn Archbyshop of of Canterburie. 537.1. rased by the commaundement of the Pope. 577.27. and. 539.30.
Lancaster,place,0.69,1,Lancaster,L,Lancaster sword. 1119. co. 2 lin. 26.
Lancaster Castle,place,0.79,1,Lancaster Castle,L,Lancaster Castle deliuered to the Bishop of Durham. 516 46.
Landed,person,0.86,1,Landed,L,Landed men charged with furniture of warre. 925.30. b.
Lanfrank,person,0.97,1,Lanfrank,L,"Lanfrank Abbot of Caen, consecrated Archbishop of Canterbury. 305.14"
Lanfranke,person,0.44,4,Lanfranke,L,Lanfranke a good husband to the See of Canterburie. 320.74.
Langley Geffrey,uncertain,0.45,1,Langley Geffrey,L,"Langley Geffrey Collector in Wales, to Henry the thyrd. 744.32."
Langton,person,0.95,1,Langton,L,Langton. 271.72
Langton Stephen,person,0.97,1,Langton Stephen,L,Langton Stephen chosen Archbyshop of Cantorbury by the Popes appoyntment. 564.48.
Langton Thomas,person,0.97,1,Langton Thomas,L,Langton Thomas Byshop of Winchester dyeth. 1455.36.
Langualeè William,person,0.97,1,Langualeè William,L,Langualeè William. 408.51
Lanpeder,place,0.81,1,Lanpeder,L,Lanpeder vaur castle buylt. 788 13. b. taken by the Welch men. 791.1. a
Latimer,person,0.65,1,Latimer,L,Latimer burned. 1764.54
Laton Richard,person,0.97,1,Laton Richard,L,Laton Richard knight sent into Britaine. 1434.10.
Lauerdyn Buchard,person,0.94,1,Lauerdyn Buchard,L,Lauerdyn Buchard expelleth his father out of the Earledome of Vandosme. 432.47
Laurence,person,0.92,6,Laurence,L,"Laurence a priest, felowe with Augustine. 148.70"
Lazius Wolfgangus,person,0.85,1,Lazius Wolfgangus,L,Lazius Wolfgangus cited. 2.41. and. 3.79.
Lee Riuer,place,0.97,2,Lee Riuer | Lee riuer,L,Lee riuer. 214.113.
Lec,person,0.86,1,Lec,L,"Lec Alane, hanged vppon despite. 502.45."
Ledes Castle,place,0.97,1,Ledes Castle,L,Ledes Castle besieged by Edward the second. 861.33. b.
Lefwyn,person,0.86,1,Lefwyn,L,"Lefwyn Abbot, taken by the Danes. 246.16"
Legantine,person,0.8,1,Legantine,L,Legantine power annexed to the Archbishopricke of Can+terbury. 401.34
Legate of Rome,person,0.61,1,Legate of Rome,L,Legate of Rome taketh the Crowne from king Iohn. 575.69. he deliuereth it to the king agayne. 575.81.
Legate Otho,person,0.97,1,Legate Otho,L,Legate Otho his Cooke slayne. 652.27.
Legate Pandolph,person,0.97,1,Legate Pandolph,L,Legate Pandolph sayleth backe out of England into France 577.27.
Legate Pandulph,person,0.97,1,Legate Pandulph,L,Legate Pandulph commeth into England to king Iohn. 575.12. he speaketh to the king. 575.18.
Leycester,place,0.83,2,Leycester,L,Leycester and castle wals rased to the ground. 445.13
Leicester towne,place,0.94,4,Leicester towne | Leycester towne,L,Leycester towne and Castle taken and burnt. 430.10.
Leides Castle,place,0.75,1,Leides Castle,L,Leides Castle taken by king Stephan. 371.33.
Leighton battel,place,0.95,1,Leighton battel,L,"Leighton battel, fought by English men agaynst the Danes. 221.10."
Leightou Thomas,person,0.97,1,Leightou Thomas,L,Leightou Thomas knight sent into Britayne. 1434.10.
Leil,person,0.95,3,Leil | Leill,L,"Leil dieth, and is buried at Carleil. 18.105."
Leyland Iohn,person,0.97,3,Leyland Iohn,L,Leyland Iohn cited. 134.48.
Leir,person,0.96,7,Leir,L,"Leir sonne to Baldud, admytted ruler ouer Britaine. 19 45."
Leirs,person,0.82,1,Leirs,L,Leirs three daughters names. 19.60.
Leland,person,0.85,1,Leland,L,Leland cited. 4.49. and. 55.11.
Lenox,person,0.83,1,Lenox,L,Lenox Earle fleeing into England marrieth the Lady Margret Dowglas 1594.41.
Lenox Erle,person,0.92,1,Lenox Erle,L,Lenox Erle inuadeth Scotland 1633.7.
Lent,place,0.84,1,Lent,L,Lent first ordeyned to be kept in England. 169.49.
Leo Isaurus Emperour,person,0.88,1,Leo Isaurus Emperour,L,Leo Isaurus Emperour. 191.39.
Leof Monasterie,place,0.87,1,Leof Monasterie,L,Leof Monasterie builded. 277.32.
Leoffe Monasterie,place,0.97,1,Leoffe Monasterie,L,Leoffe Monasterie. 270.13.
Leofricke,person,0.96,1,Leofricke,L,Leofricke made Earle of Mercia or of Chester. 260.47.
Leofrike,person,0.97,3,Leofrike,L,"Leofrike, brother to king Harold, slayne. 288.3."
Leofwin,person,0.53,3,Leofwin,L,"Leofwin and Harold, inuade the shyres of Somerset, and Dorcet and slay the inhabitantes. 272.68."
Leofwyne,uncertain,0.45,1,Leofwyne,L,Leofwyne Chaplayne to Walcher byshop of Durham. 311.31.
Leogitia,place,0.87,1,Leogitia,L,Leogitia called also Lergetia. 12.31.
Leoline,person,0.92,1,Leoline,L,"Leoline Prince of Wales. 786.32. a. requireth hostages. ibidem. raiseth warre agaynst the king. 786.32. b. maketh sute for peace. 787.17. a. marryeth the Earle of Leycesters daughter. 788.17. b. rebelleth. 789.10. a. accursed. 791.12. a. slayne. 792.20. b. his head presented to the king crowned with Iuie, caryed through Cheapside, and set on the toppe of the Towre at London. 792.50. a"
Leonel,person,0.94,1,Leonel,L,Leonel Byshop of Concordia the Popes Ambassadour. 1437.36.
Leonore,person,0.97,1,Leonore,L,Leonore Queene of Portingal dieth. 1786.7.
Leopold,person,0.95,2,Leopold,L,"Leopold Duke of Austrich, taketh Richard the second prisoner. 506.66."
Leoun,person,0.88,2,Leoun,L,Leoun prince of Northwales conspireth against the kyng. 622.83.
Leporius Agricola,uncertain,0.45,1,Leporius Agricola,L,"Leporius Agricola, Pelagian byshop in Britaine. 119 36."
Lergetia,uncertain,0.2,1,Lergetia,L,"Lergetia, called also Leogitia. 12.31."
Lernyng,uncertain,0.2,1,Lernyng,L,Lernyng remayngng amongst the inhabitantes of the west partes of Europe. 362.50
Lessey Richard,person,0.97,1,Lessey Richard,L,Lessey Richard. 1443.42.
Lesley Richard,person,0.97,1,Lesley Richard,S,Lesley Richard. 1443.43
Lestinghem Monasterie,place,0.97,1,Lestinghem Monasterie,L,Lestinghem Monasterie founded. 175.2.
Lestrigo,person,0.95,1,Lestrigo,L,"Lestrigo, sonne to Neptune, king of Italy. 5.82."
Leutherius,person,0.91,1,Leutherius,L,Leutherius Bishop of the West Saxons. 179.93.
Llewellin,person,0.83,1,Llewellin,L,Llewellin Prince of Wales inuadeth the English borders. 638.7.
Lewes,person,0.88,20,Lewes,FL,Lewes the second Emperour. 208.39.
Lewes battel,person,0.65,1,Lewes battel,L,"Lewes battel, fought by the Barons, against king Henry the third. 768.36."
Lewes Emperour,person,0.9,1,Lewes Emperour,L,Lewes Emperour. 219.81.
Lewes Letzenbrough,person,0.9,1,Lewes Letzenbrough,L,Lewes Letzenbrough Earle of S. Paule. pag. 1346. col. 1. lin. 27.
Lewes of Spaine,person,0.89,1,Lewes of Spaine,S,Lewes of Spaine created Prince. 924.30. a
Lewes Phisition,person,0.88,1,Lewes Phisition,L,Lewes Phisition to Queene Elizabeth. pag. 1400. col. 1. lin. 28. col. 2. lin. 5.
Lewis,person,0.97,4,Lewis,L,"Lewis king of Aquitayne marieth Edgina, daugter to king Edward. 223.29."
Lewlin,person,0.91,1,Lewlin,L,Lewlin Prince of Wales dieth. 656.44.
Lherfoord,person,0.86,1,Lherfoord,L,"Lherfoord, goeth to Rome to do penance. 333.70"
Llhuyd Humfrey,person,0.97,4,Llhuyd Humfrey,L,Llhuyd Humfrey cited. 3.56. and. 4.50. and. 5.43. and. 27.57.
Librarie,place,0.84,1,Librarie,L,"Librarie in Yorke Minster, consumed wyth fyre. 300.52."
Lychfield,uncertain,0.2,1,Lychfield,L,"Lychfield, whereof it tooke name. 88.38."
Lichfielde,place,0.87,1,Lichfielde,L,Lichfielde a towne. pag. 1415. col. 1.28. col. 2. lin. 57.
Licinius,person,0.43,4,Licinius,L,"Licinius sent wyth an armie against Maximinus, ouerthroweth him. 91.64."
Lydford,place,0.91,1,Lydford,L,Lydford wasted and burnt by the Danes. 241.42
Liens Castle,place,0.83,1,Liens Castle,L,Liens Castle wonne by kyng Iohns souldiours. 584.12.
Lieth,place,0.75,1,Lieth,L,Lieth besieged by the Lorde Gray. 1804.2. the sundrye exploytes done thereat. ibidem. and many leaues folowing. 1813. where the towne is surrendered and peace made.
Lylla,person,0.87,1,Lylla,L,"Lylla, seruant to king Edwyne, slayne. 159.71."
Lilly George,person,0.97,1,Lilly George,L,Lilly George cyted. 2.98.
Lilius Giraldus,uncertain,0.2,1,Lilius Giraldus,L,Lilius Giraldus cyted. 6.46.
Lymene riuer,place,0.97,1,Lymene riuer,L,Lymene riuer in East Kent. 215.76.
Limeryke kingdome in Ireland,place,0.97,1,Limeryke kingdome in Ireland,L,"Limeryke kingdome in Ireland, geuen to Philip de Breuse. 450.40."
Limezun Citie,place,0.92,1,Limezun Citie,L,"Limezun Citie in Cypres, wonne by king Richard the first. 492.11."
Limoges,person,0.63,1,Limoges,L,Limoges taken by the blacke Prince. 991.10. a.
Lyncea,uncertain,0.2,1,Lyncea,L,"Lyncea, whereof so called. 8.14."
Lynceus,person,0.87,3,Lynceus,L,"Lynceus saued by his wyfe Hypermnestra, fleeth into Egypt. 7.78."
Lincolne,place,0.64,4,Lincolne,L,Lincolne besieged by Cheldrike. 132.69.
Lincolne battaile,place,0.82,1,Lincolne battaile,L,"Lincolne battaile, fought by Maude the Empresse against king Stephan. 373.70."
Lincolne Castle,place,0.83,1,Lincolne Castle,L,Lincolne Castle builded. 299.1.
Lincolne Church,place,0.85,2,Lincolne Church,L,Lincolne Church builded. 162 70.
Lincolne Citie,place,0.82,1,Lincolne Citie,L,Lincolne Citie taken and spoyled by certaine outlawes. 776.61.
Lincolne Iohn,person,0.67,1,Lincolne Iohn,L,Lincolne Iohn author of the insurrection on yll May day. 1499.50. is hanged. 1503.30.
Lincolne towne,place,0.91,1,Lincolne towne,L,Lincolne towne besieged by K. Stephan and deliuered. 380 80.
Lindesferne Abbey,place,0.97,1,Lindesferne Abbey,L,Lindesferne Abbey spoyled by the Danes. 202.26.
Lindesferne Monasterie,place,0.97,1,Lindesferne Monasterie,L,Lindesferne Monasterie. 196.16.
Lindestarne Ile,place,0.95,1,Lindestarne Ile,L,"Lindestarne Ile, geuen vnto Aydan, for the See of his Bishopricke. 168.27."
Lyndsey,place,0.81,4,Lindsey | Lyndsey,L,Lyndsey spoyled by Earle Tostie. 284.22.
Linne,place,0.84,1,Linne,L,Linne wonne by Lewes power. 602.8.
Lionel,person,0.97,4,Lionel,CL,Lionel sonne to King Edward the thyrd borne. 903.20. b.
Lisieux,place,0.4,2,Lisieux | Lysieux,L,"Lisieux, won by the French. pa. 1276. col. 2. lin 53."
Listes in Smithfield,uncertain,0.2,1,Listes in Smithfield,L,Listes in Smithfield pa. 1317 col. 2. lin. 50.
Litchfield,place,0.64,1,Litchfield,L,"Litchfield See, to the Bishops of Mercia. 179."
Lith,place,0.8,1,Lith,L,Lith burnt· 1593.20.
Litle,place,0.85,1,Litle,L,"Litle Britaine, which is Armorica in Fraunce. 95.75."
Lyuel<?> playne,place,0.95,1,Lyuel<?> playne,L,Lyuel<?> playne. pag. 1314. col. 2. lin. 12.
Liuius,person,0.35,2,Liuius,L,"Liuius Gallus, a Romane captaine. 82.23."
Liulfus,person,0.41,2,Liulfus,L,"Liulfus withdraweth himselfe vnto Durham, and there lyueth. 311.25."
Lochdore Castle,place,0.82,1,Lochdore Castle,L,Lochdore Castle taken. 842.44. b.
Locrinus,person,0.89,7,Locrinus,L,Locrinus taketh vppon him the gouernment of Loegria. or England. 16.61.
Lodouicus Pius,person,0.84,1,Lodouicus Pius,L,"Lodouicus Pius, Emperour, and king of Fraunce. 205.104."
Loegria,uncertain,0.45,1,Loegria,L,Loegria bounded. 16.66
Logria,place,0.83,1,Logria,L,"Logria, alotted to Locrinus, now called England. 16 37"
Loydes countrey,place,0.95,1,Loydes countrey,L,Loydes countrey. 176.7.
Loyre,place,0.91,1,Loyre,L,Loyre a Ryuer in Fraunce. 13 84.
Lollius,person,0.79,2,Lollius,L,Lollius appeaseth the vnquietnesse of the Britaines. 76.60
Lollius Vrbicus,person,0.91,1,Lollius Vrbicus,L,"Lollius Vrbicus, sent Lieutenant into Britaine. 76.57"
Lome Geffrey,person,0.97,1,Lome Geffrey,L,Lome Geffrey abiured. 1541.36.
Loncaster William,person,0.97,1,Loncaster William,L,Loncaster William. 475.55.
London,place,0.9,28,London,LM,London mutch harmed by an outragious winde. 322.9.
Londoners,group,0.85,27,Londoners,L,"Londoners take part with Godwyn, agaynst king Edward. 273.75."
Londoners deny,group,0.85,1,Londoners deny,L,Londoners deny to fight against the nobilitie. 1064.20. a.
Londoricke,uncertain,0.2,1,Londoricke,L,"Londoricke, looke Roderike, K. of Pictes."
Long,person,0.83,2,Long,L,"Long bowes and the vse of them, first brought into England. 316.50."
Longchampe Osbert,person,0.97,1,Longchampe Osbert,L,Longchampe Osbert made gouernour of Yorkshyre. 483.115.
Longchampe William,person,0.91,3,Longchampe William,L,Longchampe William made bishop of Ely. 478.13
Longespee William,person,0.97,2,Longespee William,L,Longespee William sore broosed with iusting 742.72.
Longipee William,person,0.97,1,Longipee William,L,Longipee William Earle of Salisburye base brother to king Iohn. 578.14.
Longland Henry,person,0.97,1,Longland Henry,L,Longland Henry byshop of Lincolne and the Kinges confessor putteth a scruple into hys conscience touching hys mariage. 1550.56.
Lord Audeley,person,0.97,1,Lord Audeley,L,Lord Audeley. pag. 1313. col. 2. lin. 1.
Lord Beaumont,person,0.74,1,Lord Beaumont,B,Lord Beaumont discomfited in Scotland. 854.27. b.
Lord Bonuille,person,0.97,1,Lord Bonuille,L,Lord Bonuille. pag. 1305. col. 2. lin. 7. beheaded. lin. 10.
Lord Cobham,person,0.97,1,Lord Cobham,L,Lord Cobham. pag. 1298. col. 2. lin 38.
Lord Dalbrets,person,0.97,1,Lord Dalbrets,D,Lord Dalbrets sonne discomfiteth the Mashall of Fraunce 946.10 b.
Lord Fitz Walter,person,0.97,1,Lord Fitz Walter,L,Lord Fitz Walter. pag. 1310. co. 2. lin. 26 slaine. lin. 55.
Lord Hungerford,person,0.97,1,Lord Hungerford,L,Lord Hungerford. pag. 1314. col. 2. lin. 24. beheaded. pa. 1315. col. 1. lin. 1.
Lord la Vaal,person,0.97,1,Lord la Vaal,L,Lord la Vaal slaine at Roche Darien. 941.47. a
Lord Louel,person,0.97,1,Lord Louel,L,Lord Louel. pag. 1298. col. 2. lin 47.
Lord Molins,person,0.97,1,Lord Molins,L,Lord Molins. pag. 1314. col. 2. lin. 23. beheaded. pag. 1315. col. 1. lin. 1.
Lord Morley,person,0.97,1,Lord Morley,L,Lord Morley appealeth the Earle of Sarisbury. pag. 1124. col. 1. lin. 33.
Lord Neuil,person,0.94,1,Lord Neuil,N,Lord Neuil sent into Britaine 993.7. b.
Lord Scrope,person,0.97,1,Lord Scrope,L,Lord Scrope. pag. 1315. col. 1. lin. 20.
Lord Wenlooke,person,0.97,1,Lord Wenlooke,L,Lord Wenlooke. pag. 1335. col. 2. lin. 13. slayne. pag. 1339. col. 1. lin. 48.
Lordane,place,0.83,1,Lordane,L,"Lordane, whereof the worde came, and what it signifieth. 243.18."
Lorde Chauncelor of England,person,0.92,1,Lorde Chauncelor of England,L,Lorde Chauncelor of England Prolocutor of the vpper house. 354.64
Lorde Cromwel,person,0.97,1,Lorde Cromwel,L,Lorde Cromwel slaine. pag. 1335. col. 1. lin. 10.
Lorde Mowbrey,person,0.97,1,Lorde Mowbrey,M,Lorde Mowbrey created Earle of Notingham. 1006.8. b.
Lorde Saint Iohn,person,0.97,1,Lorde Saint Iohn,S,Lorde Saint Iohn taken prisoner. 825.14. b
Losaunge Robert,person,0.97,1,Losaunge Robert,L,Losaunge Robert Byshop of
Losecote field,place,0.95,1,Losecote field,L,Losecote field. pag. 1322. col. 1. lin. 44.
Loth,person,0.95,2,Loth,L,Loth king of Pictes aydeth the Saxons against Arthur. 132.27.
Lother,person,0.81,1,Lother,L,"Lother, a Captaine of the Danes. 270.31"
Lothore,person,0.63,3,Lothore,L,Lothore succeedeth his brother Egbert in the kingdome of Kent. 180.100.
Louel Fraunces Viscont Louel,person,0.97,1,Louel Fraunces Viscont Louel,L,"Louel Fraunces Viscont Louel 1425.40. departeth out of the Sanctuary at Colchester and moued an insurrection. 1427.10. mistrusting his soldiers, priuily fleeth into Lancashyre, and lurketh there 1428.2. and. 14. fleeth into Flaunders. 1429. sayleth into Ireland 1430.35. landeth in Lancashyre. eadem. 50. is slaine at Stoke. 1431 44."
Louel Thomas,person,0.97,1,Louel Thomas,L,Louel Thomas Knight one of the Priuie counsel to Henry the eyght. 1464.53
Lovel William,person,0.94,1,Lovel William,L,"Lovel William holdeth the castle of Cary, in the right of Maude the Empresse. 368.75."
Loughleuen riuer,place,0.95,1,Loughleuen riuer,L,Loughleuen riuer. 70.1.
Louiers,uncertain,0.2,1,Louiers,L,Louiers besiged by Englishe men. pag. 1193. col. 1. lin. 25. yelded. lin. 38.
Louthian in Scotland,place,0.92,1,Louthian in Scotland,L,Louthian in Scotland wasted by the English men. 430.36.
Lucan,person,0.85,1,Lucan,L,Lucan cited 4.23. and. 40.20.
Lucy Herebert,person,0.95,1,Lucy Herebert,L,Lucy Herebert gouernour of Warrham Castle. 378.101.
Lucy Richard,person,0.97,2,Lucy Richard,L,Lucy Richard lord gouernour of England. 410.59.
Lucie Richard,person,0.97,1,Lucie Richard,L,Lucie Richard lord. 391.14.
Lucygny Aymerike,person,0.87,1,Lucygny Aymerike,L,"Lucygny Aymerike, and his sonnes, subdued. 411.7."
Lucius,person,0.9,5,Lucius,L,Lucius departeth this lyfe. 75.113.
Lud,person,0.97,2,Lud,L,Lud sonne to Hely beginneth to reygne ouer Britaine 33.77
Ludgate,place,0.69,1,Ludgate,L,Ludgate builded. 33.97.
Ludhurdibras,person,0.97,2,Ludhurdibras,L,"Ludhurdibras, or Rud dieth. 19 10."
Ludicenus,person,0.9,1,Ludicenus,L,Ludicenus king of Mercia slayne in battaile by the East Angles. 203.77. and. 205.78.
Ludlow,place,0.97,1,Ludlow,L,Ludlow spoyled. pag. 1297. col. 2. lin. 26.
Ludlow Castle,place,0.95,2,Ludlow Castle,L,Ludlow Castle. 368.76.
Ludlow towne,place,0.94,1,Ludlow towne,L,Ludlow towne wonne by kyng Stephan. 371.51.
Lugge riuer,place,0.72,1,Lugge riuer,L,"Lugge riuer, where Ethelbertes body was buried. 197.28."
Luydhard,person,0.86,1,Luydhard,L,Luydhard byshop sent into England with the lady Bertha. 145.106
Luye riuer,place,0.95,1,Luye riuer,L,Luye riuer. now Lee.. 216.52.
Lupicimus,person,0.86,1,Lupicimus,L,Lupicimus returneth ouer into Fraunce. 103.54.
Lupicinus,person,0.4,2,Lupicinus,L,Lupicinus put from the office of the master of the Armory. 103.44.
Lupus,person,0.97,2,Lupus,L,Lupus returneth agayne into Fraunce. 120.75.
Lusignaue Guy,person,0.97,1,Lusignaue Guy,L,Lusignaue Guy halfe brother to Henry the thyrd commeth into England. 724.40.
Lutterell Hugh,person,0.97,1,Lutterell Hugh,L,Lutterell Hugh knight. 1450.18.
