paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
377,Canutus,5,12,This,in memorie,This Canutus in memorie
377,Malcolme,121,129,this.,their,this. Malcolme their
377,Malcolme,601,609,ſame,,ſame Malcolme
378,Malcolme,160,168,,king,Malcolme king
378,Malcolme,221,229,made,ſonne,made Malcolme ſonne
379,Edgar,123,128,lawe of,for the,lawe of Edgar for the
380,Malcolme,238,246,ſame,king,ſame Malcolme king
381,Malcolme,22,30,this law,the ſonne,this law Malcolme the ſonne
381,Duncane,44,51,ſonne of,next,ſonne of Duncane next
381,king Edward,363,374,this,made,this king Edward made
381,Malcolme,473,481,ſaid,,ſaid Malcolme
381,Edward,601,607,,.,Edward .
382,Malcolme,5,13,Thys,by,Thys Malcolme by
382,Edward,278,284,daughter of,", ſonne","daughter of Edward , ſonne"
382,Agatha,316,322,Ironſide and,", by the","Ironſide and Agatha , by the"
382,king Edward,376,387,ſame,", and","ſame king Edward , and"
382,king Edward,445,456,this,for this,this king Edward for this
383,Edgar,502,507,coſin,Ed,coſin Edgar Ed
383,William,1154,1161,vnto,their,vnto William their
383,duke of Normandie,1168,1185,their,and to,their duke of Normandie and to
383,Edward,1605,1611,able,,able Edward
383,William,1664,1671,this,was ſonne,this William was ſonne
383,Robert,1685,1691,ſonne of,", ſonne","ſonne of Robert , ſonne"
383,William,1829,1836,this,was Heire,this William was Heire
384,William,10,17,king,called,king William called
384,Edward,263,269,teſtamentary to,the Co,teſtamentary to Edward the Co
384,Malcolme,428,436,ſayde,then,ſayde Malcolme then
385,William,79,86,thys,called,thys William called
385,Malcolme,187,195,ſayde,king,ſayde Malcolme king
385,William Rufus,300,313,this,ſlayne,this William Rufus ſlayne
385,Malcolme,512,520,,to be,Malcolme to be
385,Edgar,743,748,,ſonne,Edgar ſonne
385,Malcolme,758,766,ſonne of,& brother,ſonne of Malcolme & brother
385,Malcolme,789,797,laſt,", was","laſt Malcolme , was"
385,William Rufus,887,900,this,.,this William Rufus .
386,William,35,42,ſon of,", called","ſon of William , called"
386,William Rufus,116,129,brother,", ſuccéeded","brother William Rufus , ſuccéeded"
386,Edgar,203,208,ſame,kyng,ſame Edgar kyng
386,Malcolme,320,328,daughter of,king,daughter of Malcolme king
386,Malcolme,453,461,ſonne of,brother,ſonne of Malcolme brother
387,Dauid,127,132,homage of,brother,homage of Dauid brother
388,Dauid,34,39,vnto,in the,vnto Dauid in the
388,Dauid,326,331,this,,this Dauid
388,Alexander,550,559,ſayde,his brother,ſayde Alexander his brother
389,Dauid,107,112,ſaid,king,ſaid Dauid king
389,Dauid,301,306,ſayde,dyd homage,ſayde Dauid dyd homage
390,Malcolme,104,112,of,king,of Malcolme king
390,Malcolme,209,217,Scotland of,", ſonne","Scotland of Malcolme , ſonne"
390,Malcolme,300,308,which,after,which Malcolme after
390,Malcolme,677,685,this,being,this Malcolme being
390,Malcolme,1021,1029,ſame,dyed,ſame Malcolme dyed
391,William,0,7,,brother,William brother
391,Malcolme,24,32,thys,,thys Malcolme
391,Malcolme,570,578,forfaited by,his brother,forfaited by Malcolme his brother
392,William,5,12,Thys,king,Thys William king
392,William,589,596,,kyng,William kyng
392,Dauid,808,813,ſuite of,his brother,ſuite of Dauid his brother
393,Robert,531,537,ſayde,ſayth,ſayde Robert ſayth
394,Alexander,13,22,tyme,biſhop,tyme Alexander biſhop
396,Gilbert,70,77,,ſonne,Gilbert ſonne
397,Richard,0,7,,ſurnamed,Richard ſurnamed
397,William,113,120,ſame,king,ſame William king
398,Richard,10,17,king,was taken,king Richard was taken
398,William,173,180,this,king,this William king
399,Iohn,30,34,1199.,kyng,1199. Iohn kyng
399,William,60,67,ſent to,king,ſent to William king
399,William,133,140,which,came,which William came
399,Hubert,293,299,of,", Archbiſhop","of Hubert , Archbiſhop"
399,Hubert,458,464,ſaid,: Alſo,ſaid Hubert : Alſo
399,Alexander,626,635,mariage of,hys,mariage of Alexander hys
399,William,826,833,king,& his,king William & his
399,Alexander,887,896,e,ſhould,e Alexander ſhould
399,king Iohn,1005,1014,ſayd,", as to","ſayd king Iohn , as to"
400,William,14,21,where as,king,where as William king
400,Iohn,44,48,had put,Biſhoppe,had put Iohn Biſhoppe
400,William,260,267,ſame,", and","ſame William , and"
401,king Iohn,106,115,ſonne to,", the","ſonne to king Iohn , the"
401,Alexander,352,361,betwéene,king,betwéene Alexander king
401,Alexander,449,458,ſayde,dyd homage,ſayde Alexander dyd homage
403,Alexander,20,29,deathe of,kyng,deathe of Alexander kyng
403,Alexander,47,56,"Scottes,",his ſonne,"Scottes, Alexander his ſonne"
403,Edgar,130,135,lawes of,", inwarde","lawes of Edgar , inwarde"
403,Alexander,490,499,this,", whereby","this Alexander , whereby"
404,Edward the firſt,0,16,,after,Edward the firſt after
406,Alexander,5,14,This,king,This Alexander king
406,Margaret,88,96,called,for his,called Margaret for his
406,Edgar,379,384,king,", and","king Edgar , and"
406,Edward,390,396,and,the confeſſour,and Edward the confeſſour
406,Edward the firſt,443,459,to,: whervpon,to Edward the firſt : whervpon
406,king Edward,556,567,by our,to ſend,by our king Edward to ſend
406,Edward,682,688,ſōne,:,ſōne Edward :
406,Alexander,1341,1350,king,his tyme,king Alexander his tyme
407,Margaret,24,32,this,", the","this Margaret , the"
407,Alexander,113,122,this,their,this Alexander their
407,Malcolme,231,239,daughter of,ſometyme,daughter of Malcolme ſometyme
407,Balioll,482,489,,to be,Balioll to be
407,Bruſe,556,561,,", & Haſtings","Bruſe , & Haſtings"
