Aburgauennie
Richard the second
Richard the third
Ridlie
Riuers
Riuers Richard
Robert
Robert Bruse
Robert Cumin
Robert Estouteuille
Robert Fitzhammon
Robert Lacie
Robert Mountfort
Robert Mulbraie
Roch
Rodorke
Roger
Roger Lacie
Roger Mountgomerie
Rookesbie
Ros
Rosamund
Rous
Rufus William
Russell
Rutland
Sackuill
Sadler
Salisburie
Samuell
Sanders
Sands
Sawtrie
Scales
Sebastian
Sebastian Gabato
Segraue
Selun
Semor
Sempringham
Sempringham William
Sentlow
Serle
Shandois
Shane Oneale
Shaw
Shefféeld
Shellie
Shordich
Sidneie
Sidneie Henrie
Sidneie Philip
Sigismund
Simenell
Siward
Sixtus Quintus
Smith
Smith Thomas
Soldan
Soliman Ottoman
Southwell
Spenser
Stafford
Stanelie
Stanhope
Stephan
Stephan Gardiner
Stephan Harding
Stephan Turnham
Stigand
Storie
Straw
Stukelie
Sturton
Sward Martine
Talbot
Talbot William
Tame
Thermes
Thomas
Thomas Becket
Thomas Brotherton
Thomas Kelwaie
Thomas Kiriell
Thomas Manners
Thomas Neuill
Thomas Smith
Thomas Wharton
Throckmorton
Throckmorton Francis
Throckmorton Iohn
Throckmorton Nicholas
Thurstan
Tiberio
Tiler Wat
Tirrell
Trenchulle
Trenchulle William
Tresham
Tresham William
Tresilian
Turnham
Turnham Stephan
Ualeran
Ueere
Ueere Henrie
Uernon
Umfreuill
Urban
Urswike
Walkeher
Walkhelme
Wallop
Walon
Walteof
Walter
Walter Espeke
Walter Lacie
Warbecke
Warbecke Perkin
Warham
Wat Tiler
Weiland
Wentworth
Weston
Wharton
Wharton Thomas
Wiat
Wibteth
Wicliffe
William
William Albemarle
William Chisie
William Crispine
William duke of Normandie
William Fescampe
William Fitzalan
William Fitzosborne
William Gifford
William Louell
William Mallet
William Paulet
William Peters
William Peuerell
William Rufus
William Sempringham
William Talbot
William Trenchulle
William Tresham
William Winter
Willoughbie
Winchester
Winter
Winter William
Wolstan
Wooduile
Wotton
