paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
199,Euſtace,637,644,"Balicutlan,",of Balicutlan,"Balicutlan, Euſtace of Balicutlan"
201,Talbot,85,91,Trauerſe.,. Rochforde,Trauerſe. Talbot . Rochforde
201,Richard,137,144,them,Talbot,them Richard Talbot
201,Talbot,145,151,Richard,", Aldreman","Richard Talbot , Aldreman"
202,Dauid,39,44,cuſtody of,Sutton,cuſtody of Dauid Sutton
202,Dauid,63,68,"Rabride,",Sutton,"Rabride, Dauid Sutton"
203,Thomas,0,6,,growen,Thomas growen
203,Thomas,1100,1106,,Fitz,Thomas Fitz
203,Thomas,1246,1252,ded,Fitz,ded Thomas Fitz
204,Thomas,0,6,,Fitz,Thomas Fitz
207,Thomas,11,17,that,hadde,that Thomas hadde
207,William,105,112,Sir,Brereton,Sir William Brereton
207,William,134,141,"Knyghte,Sir",Brereton,"Knyghte,Sir William Brereton"
207,Iohn,151,155,Brereton,Brereton,Brereton Iohn Brereton
207,Iohn,180,184,ſonne,Brereton,ſonne Iohn Brereton
208,William,60,67,Sir,Skeffington,Sir William Skeffington
208,William,91,98,"knight,Sir",Skeffington,"knight,Sir William Skeffington"
210,William,90,97,to Sir,Skeffington,to Sir William Skeffington
211,Thomas,0,6,,Fitz,Thomas Fitz
211,Thomas,149,155,impregnable.,Fitz,impregnable. Thomas Fitz
211,William,636,643,Sir,Brereton,Sir William Brereton
211,William,657,664,"Brereton,Sir",Brereton,"Brereton,Sir William Brereton"
211,Thomas,1977,1983,brother to,Fitz,brother to Thomas Fitz
212,Salisburie,271,281,Captaine to,. petite,Captaine to Salisburie . petite
212,William,631,638,walles Sir,Brereton,walles Sir William Brereton
212,William,1286,1293,Sir,Brereton,Sir William Brereton
221,Thomas,54,60,Dublin,Fitz,Dublin Thomas Fitz
221,Thomas,195,201,Dublin.,Fitz,Dublin. Thomas Fitz
222,William,94,101,left Sir,Brereton,left Sir William Brereton
222,Thomas,243,249,ſcore of,his galloglaſſes,ſcore of Thomas his galloglaſſes
222,Thomas,336,342,eſpying,to march,eſpying Thomas to march
222,Thomas,544,550,flight to,his companie,flight to Thomas his companie
222,Thomas,914,920,"diſcharged,",and,"diſcharged, Thomas and"
222,Thomas,1066,1072,ſkattered,and his,ſkattered Thomas and his
222,Thomas,1640,1646,ſurpriſed by,", that","ſurpriſed by Thomas , that"
223,Saliſburie,242,252,Captaine,his ſouldiours,Captaine Saliſburie his ſouldiours
